小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
嗨住租房,0,14839,0%,生活房产,计算工具买房必备房产信息装修顾问,钱赵力@hizhu.com,2017-01-09,"嗨住，一个专业的租房平台，为您提供更真实更便捷的创新一站式租房服务。让租房世界从此变得简单而温暖。在我们不断的改进和优化中，力求让更多的用户获得前所未有的体验。
— 智能+人工，双重筛选，保证所有房源真实有效，让找房不再海量筛选；
— 0元中介费，让“不收中介费”的找房神话不再是传说；
— 第三方监管，房租押金有担保，先行赔付；
— 白条付租、信用卡付租、室友征选、搬家、维修更多服务，请移步任意手机应用市场下载“嗨住”。

【联系方式】
1、微信公众号：嗨住hizhu                           
2、微博账号：嗨住hizhu
3、服务热线：400-8786-999",0.0
日历e,0,14828,0%,工具日历,日历日程查询万年历,邓仔,2017-01-06,日历、日程查询，万年历等各项日期相关服务查询,0.0
南方基金微理财,0,14781,0%,金融理财, 基金投资理财金融保险,movieatravelove,2017-01-09,南方基金小程序，集现金管理、基金交易、净值查询等多种功能于一体，致力于做您最贴心的掌上财富管家，让您随时随地轻松理财！,0.0
小蚁AI艺术,0,14764,0%,图像美化滤镜,美图学习工具娱乐,小蚁张工,2017-01-08,小蚁AI技术，深度学习画风，一键将照片变身艺术品,0.0
桔子创投内参,0,14762,0%,金融创投,投资创业社交,Zealen,2017-01-08,桔子创投内参，是一款创业与投资的红宝书，汇集了每日创投领域最干货的文章。,0.0
通勤助手,1,14664,100%,出行交通,交通出行路线推荐,Answer,2017-01-09,"· 随时查看上下班的路况，为您推荐最优路线，再也不用担心时间都耽误在路上啦！
· 内急怎么办？通勤助手为你快速找到附近的厕所！舒坦！",5.0
飞机票查询预订,0,14627,0%,出行交通,飞机票航班查询住宿,飞机票查询预订,2017-01-12,"艺龙旅行网为消费者提供全球200多个国家75万家酒店住宿及飞机票、火车票等预定服务；是中国在线和移动住宿服务提供商,致力于打造专注专业、物超所值、智能便捷的住宿预订平台,通过艺龙客户端、PC网站、24小时预订热线（4009-333-333）",0.0
快销上报,0,14610,0%,办公办公软件,轻松办公金融,快销上报,2017-01-09,1、门店销售上报，结合定位与图片上传；2、方便业务员扫码上报数据，简化录入流程；3、销售数据及时反馈，及时了解市场变化,0.0
二更+,13,14607,98%,视频在线视频,视频社交最新资讯,二更+,2017-01-19,原创精品短视频平台，带你发现身边不知道的美。,4.9
理财小算盘,0,14571,0%,金融理财,计算工具买房必备投资理财装修顾问,xinqian,2017-01-09,提供理财所需的计算器，如定投，贷款，汇率计算等。,0.0
开眼视频 Eyepetizer,0,14536,0%,视频在线视频,,开眼视频,2017-01-09,开眼视频，每天精彩短视频推荐。美食、运动、旅游视频,0.0
家装精品案例,0,14518,0%,生活家装,家装案例装修顾问买房必备装修资讯,家装精品案例,2017-01-09,家装精品案例，每套案例从客厅、餐厅、厨房、书房、卧室等空间出发，贯通其设计及搭配妙法，展现一个完整地设计灵感。,0.0
MOTIF米田图案壁纸小工具,1,14514,100%,图像美化滤镜,美图社交,Stan,2017-01-07,MOTIF热爱传统图案热爱四方连续，在这里把图案变成壁纸、装点文字，希望有更多人了解图案的美妙。,5.0
百姓MINI,0,14493,0%,生活家政服务,家政找工作二手家电车辆房地产,百姓MINI,2017-01-12,家政、找工作、二手家电、车辆、房产等，快速查询，优质生活信息一手掌握。,0.0
网易灰评,2,14486,100%,阅读资讯,商城购物攻略生活服务,Aaron,2016-12-30,网易旗下首个独立的第三方商品评价体系,5.0
微快递+,0,14463,0%,工具查询,快递查询,快递助手,2017-01-09,微快递+是为用户提供快递综合解决方案，提供最全查快递、寄快递，提升客户的快递使用体验和满足个性化服务需求。,0.0
水滴互助应用,0,14462,0%,健康健康,社交筹款申请爱心筹款粉丝应援,别重复,2017-01-09,水滴互助是面向大病/意外的互助社群，一人患病，众人均摊。关爱自己、呵护家人，与百万会员抱团抵御健康风险。已获美团-大众点评、IDG、高榕资本等5000万元投资，徐小平、王兴等互联网大佬力荐。进入公众号点击“加入互助”了解互助计划,0.0
群应用,0,14444,0%,办公办公软件,办公企业管理,杨芳贤@IBOS酷办公,2017-01-09,群主管理群的小程序，名片、名片夹、群友通讯录等...,0.0
天天P图,0,14422,0%,图像美化滤镜,美图图片处理图片制作,天天P图,2017-01-17,"天天P图小程序是由深圳市腾讯计算机系统有限公司研发推出的小程序，能够一秒钟将你的照片变成美萌萌的大头贴。
　　进入天天P图小程序之后就直接点击下方的我要制作，你可以选择现场拍照，也可以选择从图库里面找出一张更美的照片，选好之后再挑选你喜欢的框架，然后点击保存图片就能分享给你的好友了！",0.0
第二空间创作中心,0,14365,0%,办公办公软件,效率企业管理办公,西安慢连互联网有限公司,2017-01-09,第二空间创作中心可以创作出图文并茂的文章,0.0
留学公寓助手,0,14242,0%,工具查询,生活服务房产信息公寓预订,SHU,2017-01-08,留学公寓助手，是由番茄留学公寓平台开发，免费为中国留学生提供学校及校外的学生公寓预订服务的小程序。,0.0
语音备忘房贷计算工具箱,0,14238,0%,工具计算器,计算工具买房必备房产信息装修顾问,owen,2017-01-09,提供万年历查询，天干地支信息，语音备忘功能及相隔天数查询；提供房贷计算器可方便查询贷款额度及月供金额等信息。,0.0
感恩笔记本,0,14193,0%,办公办公软件,笔记本记录日记,Zeo,2017-01-04,"感恩笔记本-用感恩的心看世界，记录生命给予的每一份美好礼物，拯救不开心。

美国脱口秀女王 Oprah 坚持写感恩笔记
已有十年，她鼓励所有人用感恩的心看世界，
记录生命给予的每一份美好礼物，
拯救不开心。",0.0
看剧小助手,1,14192,60%,视频在线视频,电视视频,二口南洋,2017-01-08,记录追剧的进度，新一季或新一集更新早知道。不再追剧追一半追忘记了！,3.0
米头条助手,0,14192,0%,工具日历,万年历定日子,那猫小帅,2017-01-09,本工具是一个关于万年历的小工具。提供本月胎神、吉神宜趋、忌、凶煞宜忌、宜、月相、喜神位、岁煞、彭祖百忌等的查询功能。,0.0
小密圈+,0,14181,0%,社交社区,社交学习,小密圈+,2016-12-27,"小密圈是创作者连接铁杆粉丝，做出高品质社群，实现知识变现的工具。

凯文·凯利提出过「一千位铁杆粉丝」的观点：任何从事创作或艺术的人，例如艺术家、音乐家、摄影师、工匠、演员、动画师、设计师、作家等，只要能获得一千位铁杆粉丝，就足够生计无忧，自由创作。

到小密圈建一个圈子，按年收费，为自己的热爱写作，为自己的朋友写作。第二年，大多数用户还会在，一次销售，提供好的内容，粉丝会和你连接得越来越牢固。你的压力可能不会减少，你的快乐和满足感一定会增加。",0.0
贴现助手,0,14107,0%,金融理财,票据行情金融股票证券计算器,都顺,2017-01-04,覆盖全部票据种类，实时呈现票据市场行情走势，显示最高最低价格。票据贴现利率计算器，年息月息自动转换，一键得出贴现利息。,0.0
Coolbuy玩物志,1,14054,100%,购物商城,商城生活用品护肤品,ifanr,2017-01-09,玩物志小电商平台,5.0
腾讯汽车小助手,0,14046,0%,生活汽车,计算工具购车资讯养车修车,腾讯汽车小助手,2017-01-18,汽车小助手为您提供便捷的汽车服务，帮您轻松选车，低价购车,0.0
墙蛙网,0,14031,0%,购物商城,商城,Blood.Xia,2017-01-10,墙蛙网提供装饰画、抱枕、手机壳等多种产品的个性化定制服务。同时，还提供海量艺术家原创衍生品销售。,0.0
房贷计算器免费版,0,14019,0%,工具计算器,计算工具买房必备房产信息装修顾问,金雨,2017-01-09,免费房贷工具，2017买房卖房必备。全面覆盖公积金贷款、商业贷款、组合贷款，利率实时调整，买房卖房专业房贷计算好帮手！,0.0
网红助手,2,14001,100%,社交娱乐,网红主播电商直播排行榜,bitflow,2017-01-19,网红助手是专业的直播效果分析平台，涵盖主流平台直播数据，支持最真实的直播数据查询，为了中播中可被估量的价值，让直播可感知,5.0
拼多多官方,5,14001,84%,购物团购,拼团购物商城,kant,2017-01-09,拼多多是一个让你和朋友一起拼团购物的小程序。拼多多，拼着买，更便宜。,4.2
腾讯房产小助手,2,13994,100%,工具计算器,房贷计算器商贷计算器,腾讯房产小助手,2017-01-20,房贷计算器,5.0
邀约小助手,1,13924,60%,社交社区,组织活动分享邀约日程管理,邀约小助手,2017-01-23,"聚会、约饭、组织活动？邀约小助手帮帮你

- 简洁明了的版面，轻松发起和分享邀约，管理自己的日程
- 参与者可以选择参加、待定、不来、默默围观等不同状态，一目了然",3.0
表情家园,4,13909,84%,社交表情头像,搞笑段子媒体广告趣味阅读表情,Longxi,2017-01-09,上传图片制作自己的表情图片，所有表情图片都可以改字。最全的表情包图片，有搞笑表情包，暴走表情包， 黄子韬表情包， 尔康表情包， 金馆长表情包， 斗图表情包， 带字表情包， 动态表情包。,4.2
美美买车＋,1,13885,100%,生活汽车,购车资讯汽车报价购车,美美买车＋,2017-01-13,中国最专业的体验式汽车电商平台。,5.0
泊心旅居官方,1,13863,80%,旅游酒店住宿,酒店预订火车票汽车票飞机票,泊心旅居官方,2017-01-19,酒店、公寓、别墅、民宿预订；机票、火车票、汽车票预订；包罗树屋、房车、游艇等各式新奇住宿；旅游度假、办签证、一站式服务,4.0
腾讯投票,0,13827,0%,社交娱乐,投票评选社交,腾讯投票,2017-01-17,腾讯投票小程序能够用在不能直接做出决定的时候发起投票方法来决定！腾讯投票小程序可以发起单选投票，也能发起多选投票，创建投票成功之后就可以直接点击右上方的分享功能，把它分享到你的朋友圈或者是微信群和微信好友！非常的方便哦！,0.0
GET小资讯,0,13821,0%,阅读资讯,新闻最新资讯视频,nick,2017-01-05,"GET小资讯是一个聚焦境外时政新闻、全球经济热点的资讯类小程序，通过大数据和当地亲历者，把境外主流媒体和报纸杂志的头条头版新闻带到你面前。在这里不仅可以找到CNN,BBC news媒体等关注的要闻，还能看到环球的百科知识和科普文章。",0.0
认真的虎扑足球,10,13807,94%,体育足球,赛事点评足球新闻足球故事,认真的虎扑足球,2017-01-20,虎扑足球官方小程序，提供认真的足球新闻、有趣的足球故事以及JRs的精彩评论。,4.7
e代驾Lite,0,13786,0%,出行交通,,e代驾Lite,2017-01-12,"【代驾服务，必选e代驾，竭诚为车主用户提供更全面、专业的车辆服务】
e代驾:中国代驾行业、中国代驾公司中毋庸置疑的行业标准制定者。
e代驾不止是代驾,更多的是一种生活方式。
e代驾师傅平均驾龄9年以上=安全 
e代驾师傅平均到达时间5分钟=快速",0.0
蚂蚁待办,0,13766,0%,办公办公软件,效率生活备忘录,ants,2017-01-03,最简洁的待办、提醒,0.0
腾讯挂号平台,0,13714,0%,健康健康,挂号预约医疗,腾讯挂号平台,2017-01-20,挂号平台,0.0
招行信用卡,0,13681,0%,金融理财,生活服务金融信用卡,招行信用卡,2017-01-13,招商银行信用卡小程序，向用户提供查账、查额、查积分的功能，可以快速查看已出账单明细和未出账单明细。,0.0
蚂蚁礼簿,4,13666,96%,工具计算器,记账云端储存,腊月乘凉,2017-02-06,蚂蚁礼簿是一款由腊月乘凉开发的云礼簿，能帮助用户轻松管理一切份子钱。设计理念巨专注，只做一件事：管理份子钱巨简约。,4.8
量子足球,9,13664,100%,体育足球,足球比赛体育,阿布,2017-01-10,"量子足球是一家专注于足球比赛大数据的公司，依靠公司独创的数据模型，对足球比赛数据进行实时分析，并通过多种展现方式，将比赛的进程展示给用户。
    量子足球是一家专注于足球比赛大数据的公司，依靠公司独创的数据模型，对足球比赛数据进行实时分析，并通过多种展现方式，将比赛的进程展示给用户。",5.0
